miRNA,3256_p,3262_p,3263_p,3267_p,3271_p,3273_p,3274_p,3275_p,3276_p,3277_p,3279_p,3280_p,3281_p,3282_p,3283_p,3284_p,3287_p,3288_p,3289_p,3290_p,3304_p,3318_p
hsa-let-7a-2-3p,30.0,15.0,21.0,8.0,20.0,9.0,7.0,23.0,28.0,46.0,37.0,29.0,24.0,21.0,30.0,32.0,14.0,19.0,18.0,32.0,17.0,29.0
hsa-let-7a-3p,1788.0,1114.0,874.0,1232.0,871.0,964.0,1724.0,1730.0,1697.0,2081.0,2298.0,1480.0,1284.0,1378.0,1857.0,1537.0,1128.0,1652.0,1485.0,1298.0,1401.0,3070.0
hsa-let-7a-5p/7c-5p,403661.0,673838.0,359326.0,530250.0,548301.0,786778.0,416418.0,664494.0,574010.0,812489.0,1207827.0,567025.0,722263.0,648474.0,780773.0,950993.0,509538.0,800073.0,635318.0,935981.0,793019.0,610152.0
hsa-let-7b-3p,425.0,356.0,318.0,438.0,293.0,412.0,671.0,662.0,533.0,729.0,962.0,525.0,370.0,277.0,652.0,502.0,355.0,562.0,486.0,447.0,402.0,1204.0
hsa-let-7b-5p,227074.0,337920.0,200850.0,419126.0,265172.0,384497.0,314755.0,335944.0,374242.0,416248.0,553504.0,327362.0,346061.0,328873.0,386771.0,405182.0,251192.0,405537.0,312126.0,388053.0,384238.0,610302.0
hsa-let-7c-3p,79.0,101.0,97.0,65.0,130.0,182.0,88.0,162.0,68.0,167.0,423.0,152.0,196.0,169.0,157.0,181.0,191.0,173.0,178.0,197.0,160.0,165.0
hsa-let-7d-3p,270.0,361.0,323.0,283.0,396.0,616.0,427.0,493.0,484.0,750.0,671.0,473.0,439.0,409.0,557.0,592.0,337.0,530.0,425.0,400.0,445.0,737.0
hsa-let-7d-5p,9388.0,14042.0,10533.0,17357.0,15313.0,19590.0,10973.0,16702.0,18335.0,20295.0,24242.0,13570.0,17427.0,12104.0,18721.0,22722.0,10830.0,17535.0,15175.0,20283.0,19419.0,14588.0
hsa-let-7e-3p,80.0,120.0,126.0,64.0,170.0,145.0,117.0,140.0,147.0,175.0,227.0,158.0,163.0,150.0,198.0,189.0,93.0,174.0,149.0,184.0,142.0,86.0
hsa-let-7e-5p,18604.0,33568.0,18054.0,18793.0,31458.0,33454.0,18358.0,28853.0,25584.0,43206.0,62104.0,25321.0,43531.0,31191.0,35452.0,48682.0,27950.0,40760.0,32242.0,44199.0,35653.0,26704.0
hsa-let-7f-1-3p,161.0,65.0,80.0,96.0,70.0,64.0,174.0,167.0,128.0,215.0,187.0,125.0,104.0,76.0,163.0,158.0,100.0,154.0,105.0,107.0,108.0,328.0
hsa-let-7f-2-3p,169.0,104.0,101.0,164.0,75.0,0.0,210.0,153.0,232.0,195.0,142.0,165.0,127.0,174.0,163.0,102.0,96.0,153.0,0.0,79.0,99.0,390.0
hsa-let-7f-5p,256962.0,306948.0,193385.0,218389.0,240371.0,311115.0,220993.0,314842.0,307142.0,445772.0,563242.0,294576.0,373725.0,370205.0,370974.0,447254.0,255557.0,429748.0,323319.0,402447.0,361351.0,248730.0
hsa-let-7g-3p,156.0,119.0,72.0,89.0,77.0,72.0,181.0,122.0,175.0,209.0,220.0,175.0,147.0,148.0,187.0,151.0,60.0,124.0,163.0,95.0,101.0,235.0
hsa-let-7g-5p,56301.0,45884.0,30998.0,43131.0,36805.0,44904.0,51095.0,58901.0,63677.0,71156.0,96612.0,42329.0,53143.0,43801.0,69156.0,72743.0,38159.0,58510.0,61234.0,62102.0,64874.0,61802.0
hsa-let-7i-3p,1113.0,504.0,432.0,640.0,511.0,515.0,1128.0,1144.0,1061.0,1526.0,1306.0,1060.0,802.0,992.0,1147.0,1192.0,606.0,1073.0,691.0,753.0,994.0,1419.0
hsa-let-7i-5p,135842.0,136980.0,103965.0,155260.0,115052.0,143260.0,153952.0,144622.0,206054.0,225682.0,246838.0,188831.0,172169.0,239833.0,156550.0,187608.0,131507.0,205132.0,140911.0,169095.0,184545.0,259829.0
