ILMN_1762337,Gene_1
ILMN_2055271,Gene_2
ILMN_1736007,Gene_3
ILMN_2383229,Gene_4
ILMN_1806310,Gene_5
ILMN_1779670,Gene_6
ILMN_1653355,Gene_7
ILMN_1717783,Gene_8
ILMN_1705025,Gene_9
ILMN_1814316,Gene_10
ILMN_2359168,Gene_11
ILMN_1731507,Gene_12
ILMN_1653355,Gene_13
ILMN_1717783,Gene_13
ILMN_1705025,Gene_13
ILMN_1814316,Gene_13
ILMN_2359168,Gene_13
ILMN_1731507,Gene_13
ILMN_1787689,Gene_13
ILMN_1745607,Gene_14
ILMN_2136495,Gene_15
ILMN_1668111,Gene_16
ILMN_2295559,Gene_17
ILMN_1735045,Gene_18
ILMN_1680754,Gene_19
ILMN_2375184,Gene_20
ILMN_1659452,Gene_21
ILMN_1767388,Gene_22
ILMN_1675204,Gene_23
ILMN_1673870,Gene_24
ILMN_1755321,Gene_25
ILMN_1698554,Gene_26
ILMN_1814092,Gene_27
ILMN_1760414,Gene_28
ILMN_2061446,Gene_29
ILMN_1676336,Gene_30
ILMN_1752884,Gene_31
ILMN_1660703,Gene_32
ILMN_1668851,Gene_33
ILMN_2270015,Gene_34
ILMN_1809959,Gene_35
ILMN_2357031,Gene_36
ILMN_1726986,Gene_37
ILMN_1688755,Gene_38
ILMN_1880387,Gene_39
ILMN_1689211,Gene_40
ILMN_1653165,Gene_41
ILMN_1729835,Gene_42
ILMN_1662364,Gene_43
ILMN_1674698,Gene_44
ILMN_1700461,Gene_45
ILMN_1784269,Gene_46
ILMN_1698189,Gene_47
ILMN_2096191,Gene_48
ILMN_1678323,Gene_49
ILMN_2157219,Gene_50
ILMN_1703743,Gene_51
ILMN_1699334,Gene_52
ILMN_1687609,Gene_53
ILMN_2068874,Gene_54
ILMN_1670117,Gene_55
ILMN_1805104,Gene_56
ILMN_2404407,Gene_57
ILMN_1766054,Gene_58
ILMN_1753388,Gene_59
ILMN_2070570,Gene_60
ILMN_2232084,Gene_61
ILMN_1750250,Gene_62
ILMN_2361400,Gene_63
ILMN_1704579,Gene_64
ILMN_1687636,Gene_65
ILMN_1747627,Gene_66
ILMN_1758523,Gene_67
ILMN_1794965,Gene_68
ILMN_1722286,Gene_69
ILMN_1784176,Gene_70
ILMN_1749001,Gene_71
ILMN_1701551,Gene_72
ILMN_1795507,Gene_73
ILMN_1729894,Gene_74
ILMN_1743205,Gene_75
ILMN_2259319,Gene_76
ILMN_2129886,Gene_77
ILMN_1796801,Gene_78
ILMN_1720501,Gene_79
ILMN_1668446,Gene_80
ILMN_1812070,Gene_81
ILMN_2094875,Gene_82
ILMN_1665730,Gene_83
ILMN_2232066,Gene_84
ILMN_1767349,Gene_85
ILMN_1658257,Gene_86
ILMN_2193980,Gene_87
ILMN_1687840,Gene_88
ILMN_1665730,Gene_90
ILMN_2232066,Gene_90
ILMN_1767349,Gene_90
ILMN_1658257,Gene_90
ILMN_2193980,Gene_90
ILMN_1687840,Gene_90
ILMN_2102422,Gene_89
ILMN_1788928,Gene_90
ILMN_2343047,Gene_91
ILMN_2343048,Gene_92
ILMN_2335302,Gene_93
ILMN_1802404,Gene_94
ILMN_1776119,Gene_95
ILMN_2358714,Gene_96
ILMN_1732140,Gene_97
ILMN_1713008,Gene_98
ILMN_1762093,Gene_99
ILMN_1709092,Gene_100
ILMN_1678409,Gene_101
ILMN_1774344,Gene_102
ILMN_1676278,Gene_103
ILMN_1717466,Gene_104
ILMN_1677814,Gene_105
ILMN_1788457,Gene_106
ILMN_2194009,Gene_107
ILMN_2302358,Gene_108
ILMN_1706531,Gene_109
ILMN_1651964,Gene_110
ILMN_1725675,Gene_111
ILMN_1778352,Gene_112
ILMN_1725414,Gene_113
ILMN_2293902,Gene_114
ILMN_1801521,Gene_115
ILMN_2406654,Gene_116
ILMN_1767129,Gene_117
ILMN_1751453,Gene_118
ILMN_1746196,Gene_119
ILMN_2366473,Gene_120
ILMN_1772189,Gene_121
ILMN_1652959,Gene_122
ILMN_2198897,Gene_123
ILMN_1674032,Gene_124
ILMN_1737656,Gene_125
ILMN_2343917,Gene_126
ILMN_1746032,Gene_127
ILMN_1651501,Gene_128
ILMN_2330267,Gene_129
ILMN_1676846,Gene_130
ILMN_2392635,Gene_131
ILMN_1763875,Gene_132
ILMN_2284941,Gene_133
ILMN_1781999,Gene_134
ILMN_1669201,Gene_135
ILMN_1810085,Gene_136
ILMN_1658176,Gene_137
ILMN_2262362,Gene_138
ILMN_1743638,Gene_139
ILMN_2329927,Gene_140
ILMN_1794782,Gene_141
ILMN_1695968,Gene_142
ILMN_1789641,Gene_143
ILMN_1779470,Gene_144
ILMN_1716592,Gene_145
ILMN_1680309,Gene_146
ILMN_1743371,Gene_147
ILMN_1770031,Gene_148
ILMN_2338268,Gene_149
ILMN_1753912,Gene_150
ILMN_1737475,Gene_151
ILMN_1745116,Gene_152
ILMN_2318685,Gene_153
ILMN_2245305,Gene_154
ILMN_1707925,Gene_155
ILMN_1698311,Gene_156
ILMN_2367487,Gene_157
ILMN_1785285,Gene_158
ILMN_2073969,Gene_159
ILMN_1794213,Gene_160
ILMN_2227533,Gene_161
ILMN_1769390,Gene_162
ILMN_2403446,Gene_163
ILMN_1787618,Gene_164
ILMN_1723662,Gene_165
ILMN_1801767,Gene_166
ILMN_1700633,Gene_167
ILMN_1655702,Gene_168
ILMN_1706344,Gene_169
ILMN_1719498,Gene_170
ILMN_1712707,Gene_171
ILMN_1699750,Gene_172
ILMN_1739081,Gene_173
ILMN_2329958,Gene_174
ILMN_1775944,Gene_175
ILMN_1724497,Gene_176
ILMN_1720988,Gene_177
ILMN_1707274,Gene_178
ILMN_1755658,Gene_179
ILMN_1673639,Gene_180
ILMN_1713732,Gene_181
ILMN_1708922,Gene_182
ILMN_2268241,Gene_183
ILMN_1741628,Gene_184
ILMN_1657870,Gene_185
ILMN_2240003,Gene_186
ILMN_1785424,Gene_187
ILMN_1731610,Gene_188
ILMN_1696682,Gene_189
ILMN_2396672,Gene_190
ILMN_1758825,Gene_191
ILMN_1656940,Gene_192
ILMN_1656979,Gene_193
ILMN_1731433,Gene_194
ILMN_1672878,Gene_195
ILMN_1655114,Gene_196
ILMN_1657045,Gene_197
ILMN_1766991,Gene_198
ILMN_1658083,Gene_199
ILMN_1802096,Gene_200
ILMN_2367165,Gene_201
ILMN_1753370,Gene_202
ILMN_1738921,Gene_203
ILMN_1660199,Gene_204
ILMN_2331636,Gene_205
ILMN_1772123,Gene_206
ILMN_1667641,Gene_207
ILMN_2367165,Gene_211
ILMN_1753370,Gene_211
ILMN_1738921,Gene_211
ILMN_1660199,Gene_211
ILMN_2331636,Gene_211
ILMN_1763852,Gene_208
ILMN_1687303,Gene_209
ILMN_1761058,Gene_210
ILMN_2225595,Gene_211
ILMN_1724699,Gene_212
ILMN_1775579,Gene_213
ILMN_1660890,Gene_214
ILMN_1778104,Gene_215
ILMN_2053679,Gene_216
ILMN_1795104,Gene_217
ILMN_1740920,Gene_218
ILMN_2263466,Gene_219
ILMN_1806408,Gene_220
ILMN_2352009,Gene_221
ILMN_1693148,Gene_222
ILMN_1808395,Gene_223
ILMN_1743847,Gene_224
ILMN_1800008,Gene_225
ILMN_2133799,Gene_226
ILMN_1708672,Gene_227
ILMN_1665945,Gene_228
ILMN_1676288,Gene_229
ILMN_1693250,Gene_230
ILMN_2295980,Gene_231
ILMN_2410362,Gene_232
ILMN_1684271,Gene_233
ILMN_1726388,Gene_234
ILMN_2106002,Gene_235
ILMN_1779685,Gene_236
ILMN_1665932,Gene_237
ILMN_1769694,Gene_238
ILMN_1727251,Gene_239
ILMN_1734479,Gene_240
ILMN_2368728,Gene_241
ILMN_2394902,Gene_242
ILMN_2394897,Gene_243
ILMN_2287535,Gene_244
ILMN_1750295,Gene_245
ILMN_1780630,Gene_246
ILMN_1716480,Gene_247
ILMN_1715192,Gene_248
ILMN_2339410,Gene_249
ILMN_1779984,Gene_250
ILMN_1667018,Gene_251
ILMN_1773243,Gene_252
ILMN_1761000,Gene_253
ILMN_2333219,Gene_254
ILMN_1780485,Gene_255
ILMN_1735471,Gene_256
ILMN_1699636,Gene_257
ILMN_2371379,Gene_258
ILMN_1749014,Gene_259
ILMN_1727091,Gene_260
