miRNA,3256_p,3262_p,3263_p,3267_p,3271_p,3273_p,3274_p,3275_p,3276_p,3277_p,3279_p,3280_p,3281_p,3282_p,3283_p,3284_p,3287_p,3288_p,3289_p,3290_p,3304_p,3318_p
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,137.0,473.0,107.0,231.0,109.0,276.0,85.0,174.0,96.0,193.0,195.0,80.0,136.0,196.0,140.0,90.0,163.0,230.0,115.0,75.0,154.0,146.0
hsa-let-7a-5p/7c-5p,521054.0,198335.0,646936.0,319254.0,444140.0,370552.0,404615.0,363499.0,726701.0,439854.0,502613.0,468588.0,508161.0,611066.0,384168.0,544258.0,301668.0,386558.0,546812.0,439771.0,601923.0,503045.0
hsa-let-7b-3p,38.0,0.0,77.0,0.0,77.0,76.0,37.0,33.0,68.0,84.0,73.0,24.0,34.0,59.0,43.0,0.0,0.0,115.0,28.0,19.0,52.0,69.0
hsa-let-7b-5p,139630.0,65789.0,379616.0,145008.0,286722.0,100730.0,92372.0,91651.0,1261129.0,198432.0,155370.0,180578.0,200612.0,324704.0,101221.0,201867.0,104644.0,195152.0,208043.0,128932.0,351996.0,335546.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
hsa-let-7d-3p,1848.0,2812.0,3399.0,2632.0,3355.0,2042.0,2341.0,2546.0,2726.0,3430.0,2881.0,2474.0,2373.0,2883.0,1948.0,3049.0,1685.0,1989.0,2160.0,1707.0,3006.0,3027.0
hsa-let-7d-5p,42708.0,26679.0,63231.0,35991.0,50649.0,34653.0,46190.0,52779.0,71597.0,64101.0,53242.0,53708.0,50651.0,57086.0,45559.0,61701.0,33933.0,42243.0,54637.0,49569.0,77112.0,52826.0
hsa-let-7e-3p,28.0,68.0,12.0,50.0,0.0,11.0,12.0,17.0,0.0,17.0,7.0,5.0,18.0,26.0,21.0,8.0,17.0,7.0,14.0,15.0,23.0,0.0
hsa-let-7e-5p,15526.0,12834.0,18796.0,15277.0,9659.0,11549.0,14281.0,14784.0,10683.0,21000.0,13648.0,19841.0,20003.0,25998.0,17745.0,16480.0,15604.0,9206.0,25359.0,23363.0,23596.0,18330.0
hsa-let-7f-1-3p,0.0,98.0,0.0,114.0,35.0,0.0,0.0,82.0,0.0,61.0,45.0,24.0,24.0,42.0,0.0,33.0,0.0,87.0,0.0,0.0,0.0,41.0
hsa-let-7f-2-3p,0.0,98.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,30.0,0.0,35.0,41.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,918632.0,579263.0,731983.0,568148.0,443745.0,798018.0,948268.0,916965.0,407441.0,648529.0,927328.0,765041.0,988943.0,938496.0,869657.0,916253.0,660045.0,746999.0,1050887.0,1043136.0,726148.0,558918.0
hsa-let-7g-3p,40.0,52.0,12.0,0.0,0.0,63.0,15.0,27.0,0.0,4.0,13.0,9.0,24.0,0.0,21.0,16.0,22.0,21.0,11.0,12.0,17.0,0.0
hsa-let-7g-5p,35776.0,33082.0,42661.0,37896.0,33793.0,29720.0,41241.0,50890.0,45934.0,48171.0,48947.0,44650.0,40358.0,37736.0,47050.0,46823.0,31833.0,33270.0,42154.0,45057.0,44947.0,36013.0
hsa-let-7i-3p,54.0,102.0,21.0,28.0,23.0,67.0,27.0,60.0,33.0,34.0,58.0,23.0,27.0,39.0,47.0,6.0,41.0,40.0,58.0,45.0,8.0,11.0
hsa-let-7i-5p,365969.0,273793.0,501234.0,509872.0,322373.0,375530.0,591140.0,441913.0,308807.0,322857.0,588819.0,538038.0,546751.0,512170.0,509906.0,616135.0,538526.0,559659.0,591745.0,664097.0,443658.0,454885.0
hsa-miR-1-3p,1698.0,9373.0,2071.0,5334.0,11686.0,10305.0,10408.0,31620.0,1042.0,6375.0,33966.0,14141.0,8429.0,1964.0,4577.0,4032.0,4373.0,14146.0,5445.0,39759.0,10541.0,1879.0
hsa-miR-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,5.0,0.0
hsa-miR-100-3p,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hsa-miR-100-5p,104.0,85.0,71.0,492.0,298.0,380.0,578.0,499.0,389.0,132.0,89.0,167.0,103.0,308.0,53.0,186.0,286.0,155.0,419.0,64.0,251.0,438.0
hsa-miR-101-2-5p,4.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0
hsa-miR-101-3p,30745.0,36228.0,21721.0,19453.0,8812.0,34843.0,17745.0,23567.0,26108.0,26786.0,36875.0,24318.0,22496.0,20242.0,30842.0,18787.0,32112.0,23737.0,32621.0,20081.0,11184.0,20012.0
hsa-miR-101-5p,7.0,30.0,0.0,6.0,0.0,9.0,0.0,2.0,0.0,37.0,11.0,10.0,2.0,4.0,4.0,7.0,3.0,12.0,11.0,2.0,0.0,0.0
hsa-miR-10226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10392-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10392-5p,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
