miRNA,3256_p,3262_p,3263_p,3267_p,3271_p,3273_p,3274_p,3275_p,3276_p,3277_p,3279_p,3280_p,3281_p,3282_p,3283_p,3284_p,3287_p,3288_p,3289_p,3290_p,3304_p,3318_p
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,15.5023,45.5732,12.0765,23.292,16.9649,26.4689,8.0465,15.9288,10.6445,20.1815,17.1992,8.7526,14.604,19.7469,12.0372,9.0748,19.0923,21.0052,12.2961,7.5887,18.0986,18.5279
hsa-let-7a-5p/7c-5p,58960.0614,19109.4322,73016.0249,32190.8068,69126.7191,35536.5423,38302.7022,33276.5418,80576.7232,45994.2975,44330.9338,51266.7736,54567.6652,61564.6719,33030.8691,54878.1717,35334.5566,35303.1257,58466.6214,44496.949,70739.9855,63838.198
hsa-let-7b-3p,4.2999,0.0,8.6906,0.0,11.9844,7.2885,3.5026,3.021,7.5399,8.7836,6.4387,2.6258,3.651,5.9442,3.6972,0.0,0.0,10.5026,2.9938,1.9225,6.1112,8.7563
hsa-let-7b-5p,15799.8852,6338.722,42845.1212,14621.3501,44625.9089,9660.1716,8744.355,8390.1973,139834.1854,20749.477,13703.7784,19756.4842,21542.2444,32713.8071,8703.0091,20354.4861,12257.0155,17822.618,22244.5215,13045.6092,41367.7363,42581.9797
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.3787,0.0,0.0,0.0,0.2646,0.4376,0.4295,0.0,0.0,0.0,0.0,0.0,0.0,0.2024,0.0,0.0
hsa-let-7d-3p,209.1111,270.9341,383.626,265.3881,522.178,195.8311,221.6097,233.0738,302.2593,358.6655,254.1069,270.6727,254.819,290.4612,167.4896,307.4342,197.3651,181.6491,230.9531,172.7178,353.2751,384.1371
hsa-let-7d-5p,4832.6398,2570.5021,7136.5271,3629.0205,7883.0981,3323.2793,4372.5562,4831.6573,7938.6868,6702.8616,4695.9939,5876.0273,5439.0376,5751.3932,3917.1752,6221.3841,3974.593,3857.9203,5841.9362,5015.495,9062.4578,6703.8071
hsa-let-7e-3p,3.1684,6.5518,1.3544,5.0416,0.0,1.0549,1.136,1.5563,0.0,1.7776,0.6174,0.547,1.9329,2.6195,1.8056,0.8066,1.9912,0.6393,1.4969,1.5177,2.703,0.0
hsa-let-7e-5p,1756.8504,1236.5465,2121.3987,1540.4003,1503.3435,1107.568,1351.9046,1353.4023,1184.5327,2195.911,1203.7663,2170.7429,2147.9748,2619.2888,1525.7199,1661.6977,1827.706,840.755,2711.453,2363.9172,2773.0801,2326.1421
hsa-let-7f-1-3p,0.0,9.4422,0.0,11.4948,5.4475,0.0,0.0,7.5067,0.0,6.3786,3.969,2.6258,2.5772,4.2315,0.0,3.3274,0.0,7.9454,0.0,0.0,0.0,5.203
hsa-let-7f-2-3p,0.0,9.4422,0.0,2.8233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0787,0.0,0.0,2.5794,0.0,4.0996,3.7444,0.0,0.0,0.0,0.0
hsa-let-7f-5p,103948.1495,55811.5663,82614.8011,57287.1209,69065.2407,76531.2302,89767.376,83943.6262,45177.1233,67814.8563,81791.1915,83700.7856,106195.3013,94553.1225,74773.3453,92386.8634,77311.473,68221.068,112363.6869,105546.6808,85339.3192,70928.6802
hsa-let-7g-3p,4.5262,5.0102,1.3544,0.0,0.0,6.0418,1.42,2.4717,0.0,0.4183,1.1466,0.9847,2.5772,0.0,1.8056,1.6133,2.5769,1.9179,1.1761,1.2142,1.9979,0.0
hsa-let-7g-5p,4048.2467,3187.4265,4814.9069,3821.1042,5259.6011,2850.1966,3904.0613,4658.7287,5093.1693,5037.1062,4317.1709,4885.0193,4333.7482,3801.8879,4045.3718,4721.2179,3728.6187,3038.4444,4507.22,4558.9614,5282.3204,4570.1777
hsa-let-7i-3p,6.1104,9.8276,2.3702,2.8233,3.5798,6.4254,2.5559,5.4927,3.659,3.5553,5.1157,2.5164,2.8993,3.9292,4.0411,0.605,4.8024,3.6531,6.2015,4.5532,0.9402,1.3959
hsa-let-7i-5p,41411.3598,26379.7552,56571.4603,51411.074,50174.6923,36013.9406,55960.0099,40454.957,34240.5696,33760.2498,51934.3831,58865.0847,58711.5609,51600.9368,43841.8565,62125.6139,63077.8785,51111.8953,63270.9796,67194.7225,52140.1583,57726.5228
hsa-miR-1-3p,192.1378,903.0817,233.7421,537.8343,1818.8293,988.2663,985.2688,2894.6552,115.5371,666.6158,2995.8328,1547.1234,905.1282,197.8723,393.5317,406.5513,512.2122,1291.9097,582.1942,4022.8987,1238.8132,238.4518
hsa-miR-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2343,0.6393,0.0,0.0,0.5876,0.0
hsa-miR-100-3p,0.0,0.0,0.4515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5076
hsa-miR-100-5p,11.7682,8.1897,8.0134,49.609,46.3812,36.4426,54.7161,45.681,43.1324,13.8029,7.8499,18.271,11.0604,31.0309,4.557,18.7546,33.4994,14.1557,44.8006,6.4757,29.4984,55.5838
hsa-miR-101-2-5p,0.4526,0.0,0.0,0.0,0.0,0.5754,0.568,0.0,1.9958,0.0,0.0,0.0,0.0,0.0,0.3439,0.0,0.2343,0.0,0.0,0.2024,0.3526,0.0
