id,3256_p,3262_p,3263_p,3267_p,3271_p,3273_p,3274_p,3275_p,3276_p,3277_p,3279_p,3280_p,3281_p,3282_p,3283_p,3284_p,3287_p,3288_p,3289_p,3290_p,3304_p,3318_p
hsa-let-7a-2-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7a-3p,137,473,107,231,109,276,85,174,96,193,195,80,136,196,140,90,163,230,115,75,154,146
hsa-let-7a-5p/7c-5p,521054,198335,646936,319254,444140,370552,404615,363499,726701,439854,502613,468588,508161,611066,384168,544258,301668,386558,546812,439771,601923,503045
hsa-let-7b-3p,38,0,77,0,77,76,37,33,68,84,73,24,34,59,43,0,0,115,28,19,52,69
hsa-let-7b-5p,139630,65789,379616,145008,286722,100730,92372,91651,1261129,198432,155370,180578,200612,324704,101221,201867,104644,195152,208043,128932,351996,335546
hsa-let-7c-3p,0,0,0,0,0,0,4,0,0,0,3,4,4,0,0,0,0,0,0,2,0,0
hsa-let-7d-3p,1848,2812,3399,2632,3355,2042,2341,2546,2726,3430,2881,2474,2373,2883,1948,3049,1685,1989,2160,1707,3006,3027
hsa-let-7d-5p,42708,26679,63231,35991,50649,34653,46190,52779,71597,64101,53242,53708,50651,57086,45559,61701,33933,42243,54637,49569,77112,52826
hsa-let-7e-3p,28,68,12,50,0,11,12,17,0,17,7,5,18,26,21,8,17,7,14,15,23,0
hsa-let-7e-5p,15526,12834,18796,15277,9659,11549,14281,14784,10683,21000,13648,19841,20003,25998,17745,16480,15604,9206,25359,23363,23596,18330
hsa-let-7f-1-3p,0,98,0,114,35,0,0,82,0,61,45,24,24,42,0,33,0,87,0,0,0,41
hsa-let-7f-2-3p,0,98,0,28,0,0,0,0,0,0,0,19,0,0,30,0,35,41,0,0,0,0
hsa-let-7f-5p,918632,579263,731983,568148,443745,798018,948268,916965,407441,648529,927328,765041,988943,938496,869657,916253,660045,746999,1050887,1043136,726148,558918
hsa-let-7g-3p,40,52,12,0,0,63,15,27,0,4,13,9,24,0,21,16,22,21,11,12,17,0
hsa-let-7g-5p,35776,33082,42661,37896,33793,29720,41241,50890,45934,48171,48947,44650,40358,37736,47050,46823,31833,33270,42154,45057,44947,36013
hsa-let-7i-3p,54,102,21,28,23,67,27,60,33,34,58,23,27,39,47,6,41,40,58,45,8,11
hsa-let-7i-5p,365969,273793,501234,509872,322373,375530,591140,441913,308807,322857,588819,538038,546751,512170,509906,616135,538526,559659,591745,664097,443658,454885
hsa-miR-1-3p,1698,9373,2071,5334,11686,10305,10408,31620,1042,6375,33966,14141,8429,1964,4577,4032,4373,14146,5445,39759,10541,1879
hsa-miR-1-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,5,0
hsa-miR-100-3p,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4
hsa-miR-100-5p,104,85,71,492,298,380,578,499,389,132,89,167,103,308,53,186,286,155,419,64,251,438
hsa-miR-101-2-5p,4,0,0,0,0,6,6,0,18,0,0,0,0,0,4,0,2,0,0,2,3,0
hsa-miR-101-3p,30745,36228,21721,19453,8812,34843,17745,23567,26108,26786,36875,24318,22496,20242,30842,18787,32112,23737,32621,20081,11184,20012
hsa-miR-101-5p,7,30,0,6,0,9,0,2,0,37,11,10,2,4,4,7,3,12,11,2,0,0
hsa-miR-10226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10392-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10392-5p,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10393-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-10393-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10394-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
