hsa-let-7a-1,Gene_1
hsa-let-7a-2,Gene_2
hsa-let-7a-3,Gene_3
hsa-let-7b,Gene_4
hsa-let-7c,Gene_5
hsa-let-7d,Gene_6
hsa-let-7e,Gene_7
hsa-let-7f-1,Gene_8
hsa-let-7f-2,Gene_9
hsa-let-7g,Gene_10
hsa-let-7i,Gene_11
hsa-mir-1-1,Gene_12
hsa-mir-1-2,Gene_13
hsa-mir-100,Gene_14
hsa-mir-101-1,Gene_15
hsa-mir-101-2,Gene_16
hsa-mir-103a-1,Gene_17
hsa-mir-103a-2,Gene_18
hsa-mir-103b-1,Gene_19
hsa-mir-103b-2,Gene_20
hsa-mir-105-1,Gene_21
hsa-mir-105-2,Gene_22
hsa-mir-106a,Gene_23
hsa-mir-106b,Gene_24
hsa-mir-107,Gene_25
hsa-mir-10a,Gene_26
hsa-mir-10b,Gene_27
hsa-mir-1178,Gene_28
hsa-mir-1179,Gene_29
hsa-mir-1180,Gene_30
hsa-mir-1181,Gene_31
hsa-mir-1182,Gene_32
hsa-mir-1183,Gene_33
hsa-mir-1184-1,Gene_34
hsa-mir-1184-2,Gene_35
hsa-mir-1184-3,Gene_36
hsa-mir-1185-1,Gene_37
hsa-mir-1185-2,Gene_38
hsa-mir-1193,Gene_39
hsa-mir-1197,Gene_40
hsa-mir-1199,Gene_41
hsa-mir-1200,Gene_42
hsa-mir-1202,Gene_43
hsa-mir-1203,Gene_44
hsa-mir-1204,Gene_45
hsa-mir-1205,Gene_46
hsa-mir-1206,Gene_47
hsa-mir-1207,Gene_48
hsa-mir-1208,Gene_49
hsa-mir-122,Gene_50
hsa-mir-1224,Gene_51
hsa-mir-1225,Gene_52
hsa-mir-1226,Gene_53
hsa-mir-1227,Gene_54
hsa-mir-1228,Gene_55
hsa-mir-1229,Gene_56
hsa-mir-1231,Gene_57
hsa-mir-1233-1,Gene_58
hsa-mir-1233-2,Gene_59
hsa-mir-1234,Gene_60
hsa-mir-1236,Gene_61
hsa-mir-1237,Gene_62
hsa-mir-1238,Gene_63
hsa-mir-124-1,Gene_64
hsa-mir-124-2,Gene_65
hsa-mir-124-3,Gene_66
hsa-mir-1243,Gene_67
hsa-mir-1244-1,Gene_68
hsa-mir-1244-2,Gene_69
hsa-mir-1244-3,Gene_70
hsa-mir-1244-4,Gene_71
hsa-mir-1245a,Gene_72
hsa-mir-1245b,Gene_73
hsa-mir-1246,Gene_74
hsa-mir-1247,Gene_75
hsa-mir-1248,Gene_76
hsa-mir-1249,Gene_77
hsa-mir-1250,Gene_78
hsa-mir-1251,Gene_79
hsa-mir-1252,Gene_80
hsa-mir-1253,Gene_81
hsa-mir-1254-1,Gene_82
hsa-mir-1254-2,Gene_83
hsa-mir-1255a,Gene_84
hsa-mir-1255b-1,Gene_85
hsa-mir-1255b-2,Gene_86
hsa-mir-1256,Gene_87
hsa-mir-1257,Gene_88
hsa-mir-1258,Gene_89
hsa-mir-125a,Gene_90
hsa-mir-125b-1,Gene_91
hsa-mir-125b-2,Gene_92
hsa-mir-126,Gene_93
hsa-mir-1260a,Gene_94
hsa-mir-1260b,Gene_95
hsa-mir-1261,Gene_96
hsa-mir-1262,Gene_97
hsa-mir-1263,Gene_98
hsa-mir-1264,Gene_99
hsa-mir-1265,Gene_100
hsa-mir-1266,Gene_101
hsa-mir-1267,Gene_102
hsa-mir-1268a,Gene_103
hsa-mir-1268b,Gene_104
hsa-mir-1269a,Gene_105
hsa-mir-1269b,Gene_106
hsa-mir-127,Gene_107
hsa-mir-1270,Gene_108
hsa-mir-1271,Gene_109
hsa-mir-1272,Gene_110
hsa-mir-1273a,Gene_111
hsa-mir-1273c,Gene_112
hsa-mir-1273d,Gene_113
hsa-mir-1273e,Gene_114
hsa-mir-1273f,Gene_115
hsa-mir-1273g,Gene_116
hsa-mir-1273h,Gene_117
hsa-mir-1275,Gene_118
hsa-mir-1276,Gene_119
hsa-mir-1277,Gene_120
hsa-mir-1278,Gene_121
hsa-mir-1279,Gene_122
hsa-mir-128-1,Gene_123
hsa-mir-128-2,Gene_124
hsa-mir-1281,Gene_125
hsa-mir-1282,Gene_126
hsa-mir-1283-1,Gene_127
hsa-mir-1283-2,Gene_128
hsa-mir-1284,Gene_129
hsa-mir-1285-1,Gene_130
hsa-mir-1285-2,Gene_131
hsa-mir-1286,Gene_132
hsa-mir-1287,Gene_133
hsa-mir-1288,Gene_134
hsa-mir-1289-1,Gene_135
hsa-mir-1289-2,Gene_136
hsa-mir-129-1,Gene_137
hsa-mir-129-2,Gene_138
hsa-mir-1290,Gene_139
hsa-mir-1291,Gene_140
hsa-mir-1292,Gene_141
hsa-mir-1293,Gene_142
hsa-mir-1294,Gene_143
hsa-mir-1295a,Gene_144
hsa-mir-1295b,Gene_145
hsa-mir-1296,Gene_146
hsa-mir-1297,Gene_147
hsa-mir-1298,Gene_148
hsa-mir-1299,Gene_149
hsa-mir-1301,Gene_150
hsa-mir-1302-1,Gene_151
hsa-mir-1302-10,Gene_152
hsa-mir-1302-11,Gene_153
hsa-mir-1302-2,Gene_154
hsa-mir-1302-3,Gene_155
hsa-mir-1302-4,Gene_156
hsa-mir-1302-5,Gene_157
hsa-mir-1302-6,Gene_158
hsa-mir-1302-7,Gene_159
hsa-mir-1302-8,Gene_160
hsa-mir-1302-9,Gene_161
hsa-mir-1303,Gene_162
hsa-mir-1304,Gene_163
