id,3256_p,3262_p,3263_p,3267_p,3271_p,3273_p,3274_p,3275_p,3276_p,3277_p,3279_p,3280_p,3281_p,3282_p,3283_p,3284_p,3287_p,3288_p,3289_p,3290_p,3304_p,3318_p
hsa-miR-203b-3p,15,6,6,0,8,6,0,0,0,0,0,4,9,0,30,19,11,5,0,21,0,10
hsa-miR-204-5p,3631,2450,1899,490,4199,1871,347,809,3436,2205,5683,1327,2018,1065,7212,8170,1322,970,1929,27938,2736,1016
hsa-miR-3150a-3p,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,0,0,0
hsa-miR-3174,0,2,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,21,0,0,0,0
hsa-miR-3934-3p,0,4,4,0,0,0,0,5,3,7,7,4,12,7,0,4,0,3,4,5,0,0
hsa-miR-4326,32,16,0,15,37,16,8,8,9,4,0,9,14,0,9,0,5,18,4,44,25,11
hsa-miR-4709-5p,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,5,0,0,0,4,3,3
hsa-miR-512-5p,0,0,4,0,0,0,0,5,0,33,0,21,5,5,2,4,0,0,12,11,0,0
hsa-miR-548aq-5p,0,0,0,5,0,0,0,0,10,0,2,4,0,0,0,0,0,9,4,0,0,5
hsa-miR-548ar-3p,6,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,5,0,0,4,2,5
hsa-miR-663a-3p,8,3,0,0,2,6,0,0,0,0,0,4,4,0,0,3,10,0,2,0,9,3
hsa-miR-6832-5p,0,0,0,11,0,0,0,7,0,0,0,10,12,0,0,0,0,0,0,0,0,0
hsa-miR-888-5p,9,2,62,19,5,20,27,54,9,65,7,31,35,28,15,31,15,16,90,34,10,45
hsa-miR-891b,0,0,17,9,4,5,5,19,7,18,7,10,15,12,3,6,9,3,23,5,2,17
hsa-miR-944-3p,0,0,4,0,4,0,0,2,5,14,9,11,0,3,0,0,0,4,0,0,0,0
