id,TCGA-BP-5001,TCGA-CJ-4920,TCGA-BP-5177,TCGA-CZ-5985,TCGA-B0-4842,TCGA-B0-5701,TCGA-BP-4326,TCGA-BP-4343,TCGA-BP-4177,TCGA-MW-A4EC
hsa-let-7b,48873,14985,17848,64504,225314,50453,23215,36730,19790,32430
hsa-let-7e,2861,5714,6078,2174,5383,1388,883,10083,4288,12765
hsa-let-7f-1,6019,18853,21869,3176,8809,1707,2894,24219,4341,50881
hsa-let-7f-2,6191,19199,22477,3211,8632,1673,3010,24983,4606,51359
hsa-let-7g,1685,1976,2896,871,2619,665,1226,2400,2891,4127
hsa-mir-1-1,4,52,142,2,84,4,4,15,58,147
hsa-mir-1-2,2,36,167,4,91,5,5,16,61,167
hsa-mir-101-1,31701,3590,7364,13612,57778,21112,16562,6840,11303,12865
hsa-mir-101-2,32370,3739,7350,13555,58067,21157,16538,6987,11135,12799
hsa-mir-106b,1129,224,313,775,1706,798,609,489,316,308
hsa-mir-122,140,4,0,30,60,87,13,1,3,0
hsa-mir-125a,8352,2930,4006,1392,5052,1179,1053,7281,4798,6164
hsa-mir-125b-1,1361,776,1341,269,1834,414,306,2179,1660,1645
hsa-mir-125b-2,1440,794,1397,304,1920,489,363,2209,1731,1841
hsa-mir-126,125405,7262,16498,25112,63896,30613,23982,12234,27511,19433
hsa-mir-127,225,461,1206,177,1321,315,199,952,1278,715
hsa-mir-1270,95,12,9,15,13,16,27,8,18,13
hsa-mir-1271,54,3,6,19,72,68,19,13,8,22
hsa-mir-1277,12,1,1,14,9,1,10,0,4,2
hsa-mir-129-1,6,17,49,2,5,0,1,228,21,37
hsa-mir-129-2,7,13,55,4,19,2,0,212,12,45
hsa-mir-130b,35,7,20,45,37,27,35,26,20,9
hsa-mir-133a-1,3,19,62,5,31,3,6,7,37,52
hsa-mir-133a-2,6,13,68,4,45,3,1,11,30,47
hsa-mir-138-1,0,5,5,0,4,2,0,5,32,4
hsa-mir-138-2,1,2,4,0,5,4,1,5,31,7
hsa-mir-142,7502,498,2146,2446,6658,7627,26529,1594,4559,1056
hsa-mir-144,912,369,234,522,369,65,4334,142,210,404
hsa-mir-149,30,22,40,21,131,12,3,126,130,77
hsa-mir-155,1416,52,164,970,744,614,5690,148,165,193
hsa-mir-15a,1044,98,154,179,589,207,550,157,192,214
hsa-mir-16-1,1753,265,311,436,2066,899,1531,391,626,427
hsa-mir-16-2,1733,274,341,464,2068,966,1590,333,587,396
hsa-mir-184,0,29,10,0,3,1,1,10,94,1
hsa-mir-187,11,68,14,3,12,5,4,9,370,5
hsa-mir-188,22,18,23,7,20,14,8,22,50,32
hsa-mir-18a,30,3,7,23,39,5,15,4,5,8
hsa-mir-199a-1,691,866,2648,245,4580,790,184,4057,3061,3793
hsa-mir-199a-2,1064,1389,4011,416,8339,1390,316,6262,5381,5817
hsa-mir-200b,787,875,1350,520,3025,250,301,2203,860,2596
hsa-mir-200c,85,2043,4671,28,7185,52,93,12229,2244,7308
hsa-mir-205,0,3,6,1,13,0,1,31,23,8
hsa-mir-206,0,18,18,0,3,0,2,15,5,64
hsa-mir-20b,74,175,138,32,51,14,122,189,86,238
hsa-mir-21,407223,29414,120244,448021,905408,552552,519163,270131,67833,61842
hsa-mir-210,25732,310,685,10762,19379,8578,14577,1698,300,1975
hsa-mir-216b,0,7,0,0,0,0,0,1,25,0
hsa-mir-217,63,279,123,60,126,24,1,42,458,58
hsa-mir-224,164,6,34,35,25,67,22,35,10,29
hsa-mir-2355,877,30,68,167,346,108,165,53,83,92
hsa-mir-23a,5536,1745,4599,16794,26771,10956,4986,6248,5669,6114
hsa-mir-27a,1643,428,1114,3910,14001,3201,1028,1165,2543,1747
hsa-mir-296,9,0,4,21,65,8,8,9,5,13
hsa-mir-32,103,17,28,100,388,69,57,26,67,36
hsa-mir-320b-1,16,2,2,9,22,6,5,2,3,5
hsa-mir-320b-2,28,2,5,7,18,13,9,9,3,3
hsa-mir-330,71,5,12,92,75,76,30,45,22,24
hsa-mir-335,65,61,132,8,155,13,5,121,203,154
hsa-mir-337,25,18,99,13,68,10,8,63,76,56
hsa-mir-33b,4,0,0,28,14,8,0,1,8,1
hsa-mir-342,770,96,167,1476,349,208,703,157,279,144
hsa-mir-3613,103,0,12,69,115,37,28,5,26,13
hsa-mir-362,227,149,175,12,20,3,56,56,187,254
hsa-mir-363,24,69,101,24,58,10,30,44,97,88
hsa-mir-365a,297,57,71,540,116,76,73,72,108,131
hsa-mir-365b,297,57,70,540,118,79,73,76,110,133
hsa-mir-370,4,6,16,5,11,5,5,16,9,12
hsa-mir-374a,7249,399,1054,1652,3315,962,2508,776,1028,1644
