Gene_1,"['hsa-let-7a-1', 'hsa-mir-31']"
Gene_2,"['hsa-let-7a-2', 'hsa-mir-30e', 'hsa-mir-3115']"
Gene_3,"['hsa-let-7a-3', 'hsa-mir-30d', 'hsa-mir-3116-1']"
Gene_4,"['hsa-let-7b', 'hsa-mir-30c-2', 'hsa-mir-3116-2']"
Gene_5,"['hsa-let-7c', 'hsa-mir-30c-1', 'hsa-mir-3117']"
Gene_6,"['hsa-let-7d', 'hsa-mir-30b', 'hsa-mir-3118-1']"
Gene_7,"['hsa-let-7e', 'hsa-mir-30a', 'hsa-mir-3118-2']"
Gene_8,"['hsa-let-7f-1', 'hsa-mir-3074', 'hsa-mir-3118-3']"
Gene_9,"['hsa-let-7f-2', 'hsa-mir-3065', 'hsa-mir-3118-4']"
Gene_10,"['hsa-let-7g', 'hsa-mir-3064', 'hsa-mir-3119-1']"
Gene_11,"['hsa-let-7i', 'hsa-mir-302f', 'hsa-mir-3119-2']"
Gene_12,"['hsa-mir-1-1', 'hsa-mir-302e', 'hsa-mir-3120']"
Gene_13,"['hsa-mir-1-2', 'hsa-mir-302d', 'hsa-mir-3121']"
Gene_14,"['hsa-mir-100', 'hsa-mir-302c', 'hsa-mir-3122']"
Gene_15,"['hsa-mir-101-1', 'hsa-mir-302b', 'hsa-mir-3123']"
Gene_16,"['hsa-mir-101-2', 'hsa-mir-302a', 'hsa-mir-3124']"
Gene_17,"['hsa-mir-103a-1', 'hsa-mir-301b', 'hsa-mir-3125']"
Gene_18,"['hsa-mir-103a-2', 'hsa-mir-301a', 'hsa-mir-3126']"
Gene_19,"['hsa-mir-103b-1', 'hsa-mir-300', 'hsa-mir-3127']"
Gene_20,"['hsa-mir-103b-2', 'hsa-mir-29c', 'hsa-mir-3128']"
Gene_21,"['hsa-mir-105-1', 'hsa-mir-29b-2', 'hsa-mir-3129']"
Gene_22,"['hsa-mir-105-2', 'hsa-mir-29b-1', 'hsa-mir-3130-1']"
Gene_23,"['hsa-mir-106a', 'hsa-mir-29a', 'hsa-mir-3130-2']"
