Gene_1,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52
Gene_31,123.0846,64.88214,216.6909,101.7712,292.6965,82.01791,415.2491,194.0236,361.9897,82.18697,383.1967,219.9385,120.5715,142.1118,450.5143,141.6484,143.9603,171.0772,486.7732,445.0237,554.3257,349.0806,211.8829,77.32565,201.2014,149.2606,108.9915,216.6352,332.6538,51.79536,249.6812,340.6005,302.6506,195.5016,173.448,88.41589,545.4575,150.4088,494.7682,148.2663,390.7873,105.9435,375.4345,174.3222,345.5467,297.4717,273.7511,192.9179,851.9767,158.9195,300.1552,104.4887
Gene_59,686.308,421.8989,1789.596,1050.142,2871.776,1194.041,1024.664,1021.235,1695.839,1130.335,3492.183,1122.796,1416.996,1202.472,1346.16,828.4374,305.2721,567.71,1308.196,458.8271,1281.876,508.6594,1230.646,468.0818,626.3581,983.1581,1220.984,1166.451,2062.121,1004.379,1659.458,1228.532,3424.851,1519.006,1765.628,330.5901,3098.229,582.9807,861.5571,607.9413,1365.042,489.3986,1472.182,722.9161,1041.941,1139.743,525.4084,572.1857,1456.192,475.7568,734.5728,906.9271
Gene_278,808.9539,1374.758,1352.987,1952.714,1512.488,859.693,1794.565,1411.869,2136.842,1092.896,2219.115,908.1594,1753.617,1422.054,1997.216,1132.881,1012.146,969.2103,1551.536,2208.039,4162.806,1343.145,2625.031,1253.526,3728.931,1565.369,3964.226,1558.067,2305.931,1492.495,1166.451,1117.08,1968.327,1547.557,2352.81,1487.323,1591.139,1311.241,1888.234,1071.546,2698.185,1042.347,1375.615,1179.074,2217.142,2670.077,1094.364,1388.299,3577.307,1376.425,950.7169,1181.486
Gene_289,174.779,216.1241,484.3293,568.8002,164.2778,678.723,214.8954,442.4196,313.6656,496.1123,313.1362,347.5843,285.7281,372.0715,297.0308,609.0184,193.6365,1007.728,171.7936,463.8835,144.0428,562.8894,206.6749,520.461,378.256,441.3752,353.3023,433.1125,220.7388,748.7654,202.6113,464.9352,157.6562,290.8036,297.552,542.217,137.2175,704.1644,208.8547,695.4478,255.0783,928.4499,202.1316,569.399,213.1083,220.6663,435.7794,439.467,174.5053,772.306,219.197,631.3535
Gene_350,-2.920503,0.9411901,25.59756,-1.161846,92.51038,-2.111629,-7.520155,23.3371,0.7628843,-8.030225,-0.6672949,3143.147,-2.425005,3166.595,-0.6722045,105.6632,3.339029,-1.371154,-0.7468462,-7.02296,6991.394,-7.522275,919.9071,2619.592,-4.097764,12.23811,7.032924,1.040433,336.8579,9.951161,1.729007,-1.321316,-2.793914,88.39777,-3.467406,-8.13986,-1.614833,3.120574,5.806623,-1.805735,1.9666,-9.700965,112.98,-8.314987,3.040742,-4.406463,-2.432866,0.2072549,-2.509633,-10.00663,2.051841,274.5334
Gene_352,40458.79,32830.74,35955.46,28058.81,39511.69,35558.39,31130.31,33229.08,31130.31,35558.39,30270.54,26537.42,31130.31,38752.02,36441.16,33841.88,36441.16,36956.95,34640.43,43366.59,39511.69,41405.74,37601.48,36441.16,41405.74,40458.79,32830.74,36956.95,32161.53,31607.8,36956.95,37601.48,33500.51,28263.35,34165.73,32161.53,39511.69,35955.46,36956.95,35955.46,40458.79,31858.84,36956.95,34640.43,40458.79,41405.74,32161.53,35558.39,32496.91,34640.43,20967.68,34640.43
Gene_355,2916.294,2410.695,1078.166,999.8127,2432.766,1040.195,1798.278,771.2589,2585.598,990.049,2701.027,611.3533,879.2152,964.1909,1930.789,777.0417,2199.931,926.7783,1503.829,1461.89,3157.471,1194.595,3985.282,877.424,1608.547,950.2909,1457.828,1381.676,2627.43,760.7567,1775.672,1806.061,3066.996,1073.098,1897.864,1556.175,3970.771,1305.344,5448.022,1175.295,2687.169,737.6927,1733.744,1225.177,2005.395,1898.985,1437.813,1341.827,5702.481,963.4018,1149.801,1063.18
Gene_359,28.18654,22.35945,41.84843,42.36235,20.24879,38.89465,23.11528,28.28358,32.97526,27.83165,21.15116,27.38334,21.25571,36.12897,27.51782,29.01008,42.434,32.19709,15.00373,23.10141,16.45015,39.99878,34.14847,22.64575,76.81831,37.48239,58.10414,35.24447,20.20201,69.47144,23.91297,35.34735,20.44159,19.12624,49.9192,18.11862,35.14492,26.97407,36.39651,39.35386,42.63553,63.67628,27.66985,42.91617,70.51447,64.95816,57.16345,37.51065,18.23078,17.60064,42.56716,41.32096
Gene_606,125.2954,25.48915,188.6505,82.15566,117.7977,130.868,128.4906,66.95918,121.0123,95.49243,69.8428,148.2137,57.66514,42.08414,105.0656,91.82485,100.7337,124.5763,64.94289,135.5568,87.68282,174.5548,67.04426,73.12994,139.9327,82.60173,76.26589,71.18169,53.08166,76.72269,57.5153,102.807,48.57367,13.55,57.69943,22.19734,73.43127,71.91788,39.71315,95.23652,48.99488,9.359274,57.69943,96.58504,43.72461,46.94876,62.75156,56.15305,32.92942,79.12039,21.74806,81.25939
Gene_607,93.42731,114.6076,109.9356,110.8458,107.7627,137.6272,82.72334,59.33673,145.9136,114.6335,205.5903,98.53217,55.65905,78.85747,63.19441,88.79162,130.7524,99.88547,143.5632,109.4668,99.14494,74.63264,121.3548,84.37273,121.1892,80.13455,264.412,162.1684,122.4965,158.8188,68.03326,113.2758,66.16072,83.70756,111.5521,97.17731,208.8547,129.6321,66.1435,152.8444,180.6212,146.7819,109.1222,132.4328,139.9618,106.7484,146.2699,114.1934,87.79527,134.9341,63.32228,151.3592
