id,3256_p,3262_p,3263_p,3267_p,3271_p,3273_p,3274_p,3275_p,3276_p,3277_p,3279_p,3280_p,3281_p,3282_p,3283_p,3284_p,3287_p,3288_p,3289_p,3290_p,3304_p,3318_p
hsa-let-7a-2-3p,3.9462,2.3232,4.1901,1.0594,3.2156,1.1251,0.9996,2.699,2.9533,4.2695,2.913,3.3171,2.8311,2.1247,3.2416,3.4248,2.2722,2.0155,2.2281,3.8534,1.8136,2.5901
hsa-let-7a-3p,235.1934,172.5347,174.3882,163.1418,140.0384,120.5058,246.1964,203.0124,178.9934,193.1474,180.9199,169.2842,151.4631,139.4218,200.6576,164.4972,183.0711,175.241,183.8163,156.3025,149.4642,274.1978
hsa-let-7a-5p/7c-5p,53097.5488,104363.0203,71695.8973,70215.8756,88155.2404,98351.9709,59466.7078,77977.1706,60544.5071,75410.9115,95091.3701,64857.0183,85199.5503,65610.6155,84366.2195,101779.8767,82696.5202,84870.2013,78640.9623,112708.9101,84602.3831,54495.8797
hsa-let-7b-3p,55.9045,55.1367,63.4502,58.0001,47.1082,51.5025,95.8224,77.6845,56.2189,67.6619,75.7376,60.0501,43.6459,28.026,70.4517,53.7265,57.6155,59.6159,60.1581,53.8268,42.8869,107.5356
hsa-let-7b-5p,29869.3032,52336.5436,40075.366,55500.7998,42634.0667,48064.4321,44948.69,39422.4216,39473.6981,38633.9275,43576.9806,37444.069,40822.0296,33274.364,41792.4379,43364.54,40767.7235,43018.5831,38635.5951,46728.5454,40992.0197,54509.277
hsa-let-7c-3p,10.3917,15.6427,19.3543,8.6073,20.9013,22.7511,12.5669,19.0104,7.1724,15.5001,33.3025,17.3859,23.1205,17.0989,16.9646,19.3715,30.9987,18.3515,22.0332,23.7223,17.0694,14.737
hsa-let-7d-3p,35.5158,55.9111,64.4478,37.475,63.6685,77.0037,60.9779,57.8527,51.0506,69.611,52.8274,54.1023,51.7853,41.3814,60.1865,63.3587,54.6941,56.2214,52.6074,48.1672,47.4743,65.8253
hsa-let-7d-5p,1234.8971,2174.8039,2101.6372,2298.4195,2462.0075,2448.8675,1567.0028,1959.9495,1933.9098,1883.6741,1908.5556,1552.1533,2055.7229,1224.6457,2022.8927,2431.8185,1757.6772,1860.079,1878.3926,2442.4372,2071.6952,1302.9309
hsa-let-7e-3p,10.5232,18.5854,25.1406,8.4749,27.3324,18.1259,16.7082,16.4287,15.505,16.2426,17.8716,18.0722,19.2278,15.1765,21.3948,20.2277,15.0936,18.4576,18.4435,22.1569,15.1491,7.6811
hsa-let-7e-5p,2447.1693,5198.9616,3602.2935,2488.5751,5057.7831,4181.9507,2621.6202,3385.8474,2698.5082,4010.1513,4889.4042,2896.2472,5135.0016,3155.81,3830.7565,5210.1834,4536.2029,4323.7422,3990.9807,5322.3528,3803.6021,2385.0745
